年月,日本,韓国,コスタリカ,カナダ,オーストラリア,スペイン,フランス,イギリス,オランダ ,デンマーク
2020年5月,90,90,20,30,10,70,40,10,0,0
2020年6月,90,90,30,40,10,90,80,20,0,0
2020年7月,100,100,70,50,10,90,80,20,10,0
2020年8月,100,100,90,80,30,100,90,70,10,0
2020年9月,100,100,90,90,40,100,90,70,10,10
2020年10月,100,100,90,90,40,100,90,80,10,20
2020年11月,100,100,90,90,40,100,90,80,80,40
2020年12月,100,100,90,90,30,100,90,80,70,50
2021年1月,100,100,90,90,30,100,90,80,80,50
2021年2月,100,100,90,90,40,100,90,80,80,50
2021年3月,100,100,90,90,30,100,90,80,70,40
2021年4月,100,100,90,90,20,100,90,80,70,40
2021年5月,100,100,90,90,20,100,90,80,70,40
2021年6月,100,100,90,90,20,100,90,80,80,50
2021年7月,100,100,90,90,50,90,80,80,70,10
2021年8月,100,100,90,80,70,90,80,70,20,10
2021年9月,100,100,90,70,70,90,80,60,10,10
2021年10月,100,100,90,80,70,90,80,50,10,10
2021年11月,100,100,90,90,70,90,80,50,10,10