年,Facebook,Twitter,Pinterest,YouTube,Tumblr,Instagram
2010年1月,56.11,13.77,0,13.58,0,0
2011年1月,43.44,23.62,0,22.46,0,0
2012年1月,78.43,14,0,3.09,0,0
2013年1月,31.63,56.42,2.94,4.42,0,0
2014年1月,50.82,22.32,3.61,2.45,17.56,0
2015年1月,60.01,31.42,2.27,0.18,4.46,0
2016年1月,69.98,17.92,4.11,0.35,5.58,0
2017年1月,72.56,7.69,3.34,0.33,2.6,12.29
2018年1月,52.27,20.58,9.79,7.27,1.95,6.8
2019年1月,20.25,53.63,13.25,7.32,1.2,3.3
2020年1月,20.13,42.26,22.3,7.07,0.86,6.53
2021年1月,14.28,58.34,16.16,6.7,0.8,2.69
2022年1月,14.82,48.47,19.93,5.8,0.94,8.61